"State","Year","SMD","MMD-Post","MMD-FFA","MMD-AY-1PY","MMD-AY-Posts","MMD-AY-FFA","FD-SMD","FFD-MMD-Posts","FFD-MMD-FFA","MMD-Cumulative"
"MA",1998,1,0,0,0,0,0,0,0,0,0
"MI",1998,1,0,0,0,0,0,0,0,0,0
"MN",1998,1,0,0,0,0,0,0,0,0,0
"MO",1998,1,0,0,0,0,0,0,0,0,0
"MT",1998,1,0,0,0,0,0,0,0,0,0
"NV",1998,1,0,0,0,0,0,0,0,0,0
"NH",1998,1,0,1,0,0,0,1,0,1,0
"NM",1998,1,0,0,0,0,0,0,0,0,0
"NY",1998,1,0,0,0,0,0,0,0,0,0
"NC",1998,1,0,1,0,0,0,0,0,0,0
"ND",1998,0,0,1,0,0,0,0,0,0,0
"OH",1998,1,0,0,0,0,0,0,0,0,0
"OK",1998,1,0,0,0,0,0,0,0,0,0
"OR",1998,1,0,0,0,0,0,0,0,0,0
"PA",1998,1,0,0,0,0,0,0,0,0,0
"RI",1998,1,0,0,0,0,0,0,0,0,0
"SC",1998,1,0,0,0,0,0,0,0,0,0
"SD",1998,0,0,1,0,0,0,0,0,0,0
"TN",1998,1,0,0,0,0,0,0,0,0,0
"TX",1998,1,0,0,0,0,0,0,0,0,0
"UT",1998,1,0,0,0,0,0,0,0,0,0
"VT",1998,1,0,1,0,0,0,0,0,0,0
"WA",1998,0,1,0,0,0,0,0,0,0,0
"WV",1998,1,0,1,0,0,0,0,0,0,0
"WI",1998,1,0,0,0,0,0,0,0,0,0
"WY",1998,1,0,0,0,0,0,0,0,0,0
"AL",2002,1,0,0,0,0,0,0,0,0,0
"AK",2002,1,0,0,0,0,0,0,0,0,0
"AZ",2002,0,0,1,0,0,0,0,0,0,0
"AR",2002,1,0,0,0,0,0,0,0,0,0
"CA",2002,1,0,0,0,0,0,0,0,0,0
"CO",2002,1,0,0,0,0,0,0,0,0,0
"CT",2002,1,0,0,0,0,0,0,0,0,0
"DE",2002,1,0,0,0,0,0,0,0,0,0
"FL",2002,1,0,0,0,0,0,0,0,0,0
"GA",2002,1,1,0,0,0,0,0,0,0,0
"HI",2002,1,0,0,0,0,0,0,0,0,0
"ID",2002,0,1,0,0,0,0,0,0,0,0
"IL",2002,1,0,0,0,0,0,0,0,0,0
"IN",2002,1,0,0,0,0,0,0,0,0,0
"IA",2002,1,0,0,0,0,0,0,0,0,0
"KS",2002,1,0,0,0,0,0,0,0,0,0
"KY",2002,1,0,0,0,0,0,0,0,0,0
"LA",2002,1,0,0,0,0,0,0,0,0,0
"ME",2002,1,0,0,0,0,0,0,0,0,0
"MD",2002,1,0,1,0,0,0,0,0,0,0
"MA",2002,1,0,0,0,0,0,0,0,0,0
"MI",2002,1,0,0,0,0,0,0,0,0,0
"MN",2002,1,0,0,0,0,0,0,0,0,0
"MO",2002,1,0,0,0,0,0,0,0,0,0
"MT",2002,1,0,0,0,0,0,0,0,0,0
"NV",2002,1,0,0,0,0,0,0,0,0,0
"NH",2002,1,0,1,0,0,0,0,0,0,0
"NM",2002,1,0,0,0,0,0,0,0,0,0
"NY",2002,1,0,0,0,0,0,0,0,0,0
"NC",2002,1,0,0,0,0,0,0,0,0,0
"ND",2002,0,0,1,0,0,0,0,0,0,0
"OH",2002,1,0,0,0,0,0,0,0,0,0
"OK",2002,1,0,0,0,0,0,0,0,0,0
"OR",2002,1,0,0,0,0,0,0,0,0,0
"PA",2002,1,0,0,0,0,0,0,0,0,0
"RI",2002,1,0,0,0,0,0,0,0,0,0
"SC",2002,1,0,0,0,0,0,0,0,0,0
"SD",2002,1,0,1,0,0,0,0,0,0,0
"TN",2002,1,0,0,0,0,0,0,0,0,0
"TX",2002,1,0,0,0,0,0,0,0,0,0
"UT",2002,1,0,0,0,0,0,0,0,0,0
"VT",2002,1,0,1,0,0,0,0,0,0,0
"WA",2002,0,1,0,0,0,0,0,0,0,0
"WV",2002,1,0,1,0,0,0,0,0,0,0
"WI",2002,1,0,0,0,0,0,0,0,0,0
"WY",2002,1,0,0,0,0,0,0,0,0,0
"AL",2006,1,0,0,0,0,0,0,0,0,0
"AK",2006,1,0,0,0,0,0,0,0,0,0
"AZ",2006,0,0,1,0,0,0,0,0,0,0
"AR",2006,1,0,0,0,0,0,0,0,0,0
"CA",2006,1,0,0,0,0,0,0,0,0,0
"CO",2006,1,0,0,0,0,0,0,0,0,0
"CT",2006,1,0,0,0,0,0,0,0,0,0
"DE",2006,1,0,0,0,0,0,0,0,0,0
"FL",2006,1,0,0,0,0,0,0,0,0,0
"GA",2006,1,0,0,0,0,0,0,0,0,0
"HI",2006,1,0,0,0,0,0,0,0,0,0
"ID",2006,0,1,0,0,0,0,0,0,0,0
"IL",2006,1,0,0,0,0,0,0,0,0,0
"IN",2006,1,0,0,0,0,0,0,0,0,0
"IA",2006,1,0,0,0,0,0,0,0,0,0
"KS",2006,1,0,0,0,0,0,0,0,0,0
"KY",2006,1,0,0,0,0,0,0,0,0,0
"ME",2006,1,0,0,0,0,0,0,0,0,0
"MD",2006,1,0,1,0,0,0,0,0,0,0
"MA",2006,1,0,0,0,0,0,0,0,0,0
"MI",2006,1,0,0,0,0,0,0,0,0,0
"MN",2006,1,0,0,0,0,0,0,0,0,0
"MO",2006,1,0,0,0,0,0,0,0,0,0
"MT",2006,1,0,0,0,0,0,0,0,0,0
"NV",2006,1,0,0,0,0,0,0,0,0,0
"NH",2006,1,0,1,0,0,0,0,0,0,0
"NM",2006,1,0,0,0,0,0,0,0,0,0
"NY",2006,1,0,0,0,0,0,0,0,0,0
"NC",2006,1,0,0,0,0,0,0,0,0,0
"ND",2006,0,0,1,0,0,0,0,0,0,0
"OH",2006,1,0,0,0,0,0,0,0,0,0
"OK",2006,1,0,0,0,0,0,0,0,0,0
"OR",2006,1,0,0,0,0,0,0,0,0,0
"PA",2006,1,0,0,0,0,0,0,0,0,0
"RI",2006,1,0,0,0,0,0,0,0,0,0
"SC",2006,1,0,0,0,0,0,0,0,0,0
"SD",2006,1,0,1,0,0,0,0,0,0,0
"TN",2006,1,0,0,0,0,0,0,0,0,0
"TX",2006,1,0,0,0,0,0,0,0,0,0
"UT",2006,1,0,0,0,0,0,0,0,0,0
"VT",2006,1,0,1,0,0,0,0,0,0,0
"WA",2006,0,1,0,0,0,0,0,0,0,0
"WV",2006,1,0,1,0,0,0,0,0,0,0
"WI",2006,1,0,0,0,0,0,0,0,0,0
"WY",2006,1,0,0,0,0,0,0,0,0,0
"AL",2010,1,0,0,0,0,0,0,0,0,0
"AK",2010,1,0,0,0,0,0,0,0,0,0
"AZ",2010,0,0,1,0,0,0,0,0,0,0
"AR",2010,1,0,0,0,0,0,0,0,0,0
"CA",2010,1,0,0,0,0,0,0,0,0,0
"CO",2010,1,0,0,0,0,0,0,0,0,0
"CT",2010,1,0,0,0,0,0,0,0,0,0
"DE",2010,1,0,0,0,0,0,0,0,0,0
"FL",2010,1,0,0,0,0,0,0,0,0,0
"GA",2010,1,0,0,0,0,0,0,0,0,0
"HI",2010,1,0,0,0,0,0,0,0,0,0
"ID",2010,0,1,0,0,0,0,0,0,0,0
"IL",2010,1,0,0,0,0,0,0,0,0,0
"IN",2010,1,0,0,0,0,0,0,0,0,0
"IA",2010,1,0,0,0,0,0,0,0,0,0
"KS",2010,1,0,0,0,0,0,0,0,0,0
"KY",2010,1,0,0,0,0,0,0,0,0,0
"ME",2010,1,0,0,0,0,0,0,0,0,0
"MD",2010,1,0,1,0,0,0,0,0,0,0
"MA",2010,1,0,0,0,0,0,0,0,0,0
"MI",2010,1,0,0,0,0,0,0,0,0,0
"MN",2010,1,0,0,0,0,0,0,0,0,0
"MO",2010,1,0,0,0,0,0,0,0,0,0
"MT",2010,1,0,0,0,0,0,0,0,0,0
"NV",2010,1,0,0,0,0,0,0,0,0,0
"NH",2010,1,0,1,0,0,0,0,0,0,0
"NM",2010,1,0,0,0,0,0,0,0,0,0
"NY",2010,1,0,0,0,0,0,0,0,0,0
"NC",2010,1,0,0,0,0,0,0,0,0,0
"ND",2010,0,0,1,0,0,0,0,0,0,0
"OH",2010,1,0,0,0,0,0,0,0,0,0
"OK",2010,1,0,0,0,0,0,0,0,0,0
"OR",2010,1,0,0,0,0,0,0,0,0,0
"PA",2010,1,0,0,0,0,0,0,0,0,0
"RI",2010,1,0,0,0,0,0,0,0,0,0
"SC",2010,1,0,0,0,0,0,0,0,0,0
"SD",2010,1,0,1,0,0,0,0,0,0,0
"TN",2010,1,0,0,0,0,0,0,0,0,0
"TX",2010,1,0,0,0,0,0,0,0,0,0
"UT",2010,1,0,0,0,0,0,0,0,0,0
"VT",2010,1,0,1,0,0,0,0,0,0,0
"WA",2010,0,1,0,0,0,0,0,0,0,0
"WV",2010,1,0,1,0,0,0,0,0,0,0
"WI",2010,1,0,0,0,0,0,0,0,0,0
"WY",2010,1,0,0,0,0,0,0,0,0,0
"AK",1968,1,0,1,0,0,0,0,0,0,0
"AZ",1968,0,0,1,0,0,0,0,0,0,0
